***Disclaimers		
"*Discontinued procedure and modifier codes will appear in the HCPCS file for four years to facilitate claims processing.  After four years, these procedure and "		
   modifier codes will no longer appear.  		
		
HCPC	LONG DESCRIPTION	SHORT DESCRIPTION
A4766	"Dialysate concentrate, solution, additive for peritoneal dialysis, per 10 ml"	Dialysate conc sol add 10 ml
A4770	"Blood collection tube, vacuum, for dialysis, per 50"	Blood collection tube/vacuum
A4771	"Serum clotting time tube, for dialysis, per 50"	Serum clotting time tube
A4772	"Blood glucose test strips, for dialysis, per 50"	Blood glucose test strips
A4773	"Occult blood test strips, for dialysis, per 50"	Occult blood test strips
A4774	"Ammonia test strips, for dialysis, per 50"	Ammonia test strips
A4802	"Protamine sulfate, for hemodialysis, per 50 mg"	Protamine sulfate per 50 mg
A4860	"Disposable catheter tips for peritoneal dialysis, per 10"	Disposable catheter tips
A4870	Plumbing and/or electrical work for home hemodialysis equipment	Plumb/elec wk hm hemo equip
A4890	"Contracts, repair and maintenance, for hemodialysis equipment"	Repair/maint cont hemo equip
A4911	"Drain bag/bottle, for dialysis, each"	Drain bag/bottle
A4913	"Miscellaneous dialysis supplies, not otherwise specified"	Misc dialysis supplies noc
A4918	"Venous pressure clamp, for hemodialysis, each"	Venous pressure clamp
A4927	"Gloves, non-sterile, per 100"	Non-sterile gloves
A4928	"Surgical mask, per 20"	Surgical mask
A4929	"Tourniquet for dialysis, each"	"Tourniquet for dialysis, ea"
A4930	"Gloves, sterile, per pair"	"Sterile, gloves per pair"
A4931	"Oral thermometer, reusable, any type, each"	Reusable oral thermometer
A4932	"Rectal thermometer, reusable, any type, each"	Reusable rectal thermometer
A5051	"Ostomy pouch, closed; with barrier attached (1 piece), each"	Pouch clsd w barr attached
A5052	"Ostomy pouch, closed; without barrier attached (1 piece), each"	Clsd ostomy pouch w/o barr
A5053	"Ostomy pouch, closed; for use on faceplate, each"	Clsd ostomy pouch faceplate
A5054	"Ostomy pouch, closed; for use on barrier with flange (2 piece), each"	Clsd ostomy pouch w/flange
A5055	Stoma cap	Stoma cap
A5056	"Ostomy pouch, drainable, with extended wear barrier attached, with filter, (1 piece), each"	1 pc ost pouch w filter
A5057	"Ostomy pouch, drainable, with extended wear barrier attached, with built in convexity, with filter, (1 piece), each"	1 pc ost pou w built-in conv
A5061	"Ostomy pouch, drainable; with barrier attached, (1 piece), each"	Pouch drainable w barrier at
A5062	"Ostomy pouch, drainable; without barrier attached (1 piece), each"	Drnble ostomy pouch w/o barr
A5063	"Ostomy pouch, drainable; for use on barrier with flange (2 piece system), each"	Drain ostomy pouch w/flange
A5071	"Ostomy pouch, urinary; with barrier attached (1 piece), each"	Urinary pouch w/barrier
A5072	"Ostomy pouch, urinary; without barrier attached (1 piece), each"	Urinary pouch w/o barrier
A5073	"Ostomy pouch, urinary; for use on barrier with flange (2 piece), each"	Urinary pouch on barr w/flng
A5081	"Stoma plug or seal, any type"	"Stoma plug or seal, any type"
A5082	Continent device; catheter for continent stoma	Continent stoma catheter
A5083	"Continent device, stoma absorptive cover for continent stoma"	Stoma absorptive cover
A5093	Ostomy accessory; convex insert	Ostomy accessory convex inse
A5102	"Bedside drainage bottle with or without tubing, rigid or expandable, each"	Bedside drain btl w/wo tube
A5105	"Urinary suspensory with leg bag, with or without tube, each"	Urinary suspensory
A5112	"Urinary drainage bag, leg or abdomen, latex, with or without tube, with straps, each"	Urinary leg bag
A5113	"Leg strap; latex, replacement only, per set"	Latex leg strap
A5114	"Leg strap; foam or fabric, replacement only, per set"	Foam/fabric leg strap
A5120	"Skin barrier, wipes or swabs, each"	"Skin barrier, wipe or swab"
A5121	"Skin barrier; solid, 6 x 6 or equivalent, each"	Solid skin barrier 6x6
A5122	"Skin barrier; solid, 8 x 8 or equivalent, each"	Solid skin barrier 8x8
A5126	Adhesive or non-adhesive; disk or foam pad	Disk/foam pad +or- adhesive
A5131	"Appliance cleaner, incontinence and ostomy appliances, per 16 oz."	Appliance cleaner
A5200	"Percutaneous catheter/tube anchoring device, adhesive skin attachment"	Percutaneous catheter anchor
A5500	"For diabetics only, fitting (including follow-up), custom preparation and supply of off-the-shelf depth-inlay shoe manufactured to accommodate multi-density insert(s), per shoe"	Diab shoe for density insert
A5501	"For diabetics only, fitting (including follow-up), custom preparation and supply of shoe molded from cast(s) of patient's foot (custom molded shoe), per shoe"	Diabetic custom molded shoe
A5503	"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with roller or rigid rocker bottom, per shoe"	Diabetic shoe w/roller/rockr
A5504	"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with wedge(s), per shoe"	Diabetic shoe with wedge
A5505	"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with metatarsal bar, per shoe"	Diab shoe w/metatarsal bar
A5506	"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with off-set heel(s), per shoe"	Diabetic shoe w/off set heel
A5507	"For diabetics only, not otherwise specified modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe, per shoe"	Modification diabetic shoe
A5508	"For diabetics only, deluxe feature of off-the-shelf depth-inlay shoe or custom-molded shoe, per shoe"	Diabetic deluxe shoe
A5510	"For diabetics only, direct formed, compression molded to patient's foot without external heat source, multiple-density insert(s) prefabricated, per shoe"	Compression form shoe insert
A5512	"For diabetics only, multiple density insert, direct formed, molded to foot after external heat source of 230 degrees fahrenheit or higher, total contact with patient's foot, including arch, base layer minimum of 1/4 inch material of shore a 35 durometer or 3/16 inch material of shore a 40 durometer (or higher), prefabricated, each"	Multi den insert direct form
A5513	"For diabetics only, multiple density insert, custom molded from model of patient's foot, total contact with patient's foot, including arch, base layer minimum of 3/16 inch material of shore a 35 durometer or higher), includes arch filler and other shaping material, custom fabricated, each"	Multi den insert custom mold
A6000	Non-contact wound warming wound cover for use with the non-contact wound warming device and warming card	Wound warming wound cover
A6010	"Collagen based wound filler, dry form, sterile, per gram of collagen"	Collagen based wound filler
A6011	"Collagen based wound filler, gel/paste, per gram of collagen"	Collagen gel/paste wound fil
A6021	"Collagen dressing, sterile, size 16 sq. in. or less, each"	Collagen dressing <=16 sq in
A6022	"Collagen dressing, sterile, size more than 16 sq. in. but less than or equal to 48 sq. in., each"	Collagen drsg>16<=48 sq in
A6023	"Collagen dressing, sterile, size more than 48 sq. in., each"	Collagen dressing >48 sq in
A6024	"Collagen dressing wound filler, sterile, per 6 inches"	Collagen dsg wound filler
A6025	"Gel sheet for dermal or epidermal application, (e.g., silicone, hydrogel, other), each"	"Silicone gel sheet, each"
A6154	"Wound pouch, each"	Wound pouch each
A6196	"Alginate or other fiber gelling dressing, wound cover, sterile, pad size 16 sq. in. or less, each dressing"	Alginate dressing <=16 sq in
A6197	"Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., each dressing"	Alginate drsg >16 <=48 sq in
A6198	"Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 48 sq. in., each dressing"	Alginate dressing > 48 sq in
A6199	"Alginate or other fiber gelling dressing, wound filler, sterile, per 6 inches"	Alginate drsg wound filler
A6203	"Composite dressing, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"	Composite drsg <= 16 sq in
A6204	"Composite dressing, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"	Composite drsg >16<=48 sq in
A6205	"Composite dressing, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"	Composite drsg > 48 sq in
A6206	"Contact layer, sterile, 16 sq. in. or less, each dressing"	Contact layer <= 16 sq in
A6207	"Contact layer, sterile, more than 16 sq. in. but less than or equal to 48 sq. in., each dressing"	Contact layer >16<= 48 sq in
A6208	"Contact layer, sterile, more than 48 sq. in., each dressing"	Contact layer > 48 sq in
A6209	"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"	Foam drsg <=16 sq in w/o bdr
A6210	"Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"	Foam drg >16<=48 sq in w/o b
A6211	"Foam dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"	Foam drg > 48 sq in w/o brdr
A6212	"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"	Foam drg <=16 sq in w/border
A6213	"Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"	Foam drg >16<=48 sq in w/bdr
A6214	"Foam dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"	Foam drg > 48 sq in w/border
A6215	"Foam dressing, wound filler, sterile, per gram"	Foam dressing wound filler
A6216	"Gauze, non-impregnated, non-sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"	Non-sterile gauze<=16 sq in
A6217	"Gauze, non-impregnated, non-sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"	Non-sterile gauze>16<=48 sq
A6218	"Gauze, non-impregnated, non-sterile, pad size more than 48 sq. in., without adhesive border, each dressing"	Non-sterile gauze > 48 sq in
A6219	"Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"	Gauze <= 16 sq in w/border
A6220	"Gauze, non-impregnated, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"	Gauze >16 <=48 sq in w/bordr
A6221	"Gauze, non-impregnated, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"	Gauze > 48 sq in w/border
A6222	"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"	Gauze <=16 in no w/sal w/o b
A6223	"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size more than 16 sq. in., but less than or equal to 48 sq. in., without adhesive border, each dressing"	Gauze >16<=48 no w/sal w/o b
A6224	"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"	Gauze > 48 in no w/sal w/o b
A6228	"Gauze, impregnated, water or normal saline, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"	Gauze <= 16 sq in water/sal
A6229	"Gauze, impregnated, water or normal saline, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"	Gauze >16<=48 sq in watr/sal
A6230	"Gauze, impregnated, water or normal saline, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"	Gauze > 48 sq in water/salne
A6231	"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size 16 sq. in. or less, each dressing"	Hydrogel dsg<=16 sq in
A6232	"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size greater than 16 sq. in., but less than or equal to 48 sq. in., each dressing"	Hydrogel dsg>16<=48 sq in
A6233	"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size more than 48 sq. in., each dressing"	Hydrogel dressing >48 sq in
A6234	"Hydrocolloid dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"	Hydrocolld drg <=16 w/o bdr
A6235	"Hydrocolloid dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"	Hydrocolld drg >16<=48 w/o b
A6236	"Hydrocolloid dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"	Hydrocolld drg > 48 in w/o b
A6237	"Hydrocolloid dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"	Hydrocolld drg <=16 in w/bdr
A6238	"Hydrocolloid dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"	Hydrocolld drg >16<=48 w/bdr
A6239	"Hydrocolloid dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"	Hydrocolld drg > 48 in w/bdr
A6240	"Hydrocolloid dressing, wound filler, paste, sterile, per ounce"	Hydrocolld drg filler paste
A6241	"Hydrocolloid dressing, wound filler, dry form, sterile, per gram"	Hydrocolloid drg filler dry
A6242	"Hydrogel dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"	Hydrogel drg <=16 in w/o bdr
A6243	"Hydrogel dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"	Hydrogel drg >16<=48 w/o bdr
