Common name	syn_list
ORNITHINE	['(S)-2,5-DIAMINOPENTANOATE', '(S)-2,5-DIAMINOPENTANOIC ACID', '(S)-2,5-DIAMINOVALERIC ACID', '(S)-ORNITHINE', '(S)-Α,Δ-DIAMINOVALERIC ACID', 'L-ORNITHINE', 'LEVO-ORNITHINE', 'ORNITHINE', 'ORNITHINUM', 'ORNITINA']
L-GLUTAMINE	['(2S)-2-AMINO-4-CARBAMOYLBUTANOIC ACID', '(2S)-2,5-DIAMINO-5-OXOPENTANOIC ACID', '(S)-2,5-DIAMINO-5-OXOPENTANOIC ACID', 'GLUTAMIC ACID 5-AMIDE', 'GLUTAMIC ACID AMIDE', 'GLUTAMINA', 'GLUTAMINE', 'L-(+)-GLUTAMINE', 'L-2-AMINOGLUTARAMIC ACID', 'L-GLUTAMIC ACID Γ-AMIDE', 'L-GLUTAMIN', 'L-GLUTAMINSÄURE-5-AMID', 'LEVOGLUTAMIDE', 'Q']
ADENOSINE PHOSPHATE	"[""5'-ADENOSINE MONOPHOSPHATE"", ""5'-ADENYLIC ACID"", ""5'-AMP"", ""5'-O-PHOSPHONOADENOSINE"", ""ADENOSINE 5'-(DIHYDROGEN PHOSPHATE)"", ""ADENOSINE 5'-MONOPHOSPHATE"", ""ADENOSINE 5'-PHOSPHATE"", 'ADENOSINE MONOPHOSPHATE', 'ADENOSINE PHOSPHATE', ""ADENOSINE-5'-MONOPHOSPHATE"", ""ADENOSINE-5'-MONOPHOSPHORIC ACID"", ""ADENOSINE-5'P"", 'ADENOSINI PHOSPHAS', 'ADENYLATE', 'ADENYLIC ACID', ""ADO5'P"", 'AMP', 'FOSFATO DE ADENOSINA', 'PADO', ""PHOSPHATE D'ADÉNOSINE""]"
ALPHA-LINOLENIC ACID	['(9,12,15)-LINOLENIC ACID', '(9Z,12Z,15Z)-OCTADECATRIENOIC ACID', '(Z,Z,Z)-9,12,15-OCTADECATRIENOIC ACID', '9-CIS,12-CIS,15-CIS-OCTADECATRIENOIC ACID', '9,12,15-OCTADECATRIENOIC ACID', 'ALA', 'ALL-CIS-9,12,15-OCTADECATRIENOIC ACID', 'ALPHA-LINOLENIC ACID', 'CIS-DELTA(9,12,15)-OCTADECATRIENOIC ACID', 'CIS,CIS,CIS-9,12,15-OCTADECATRIENOIC ACID', 'LINOLENIC ACID', 'Α-LINOLENIC ACID']
SERINE	['(S)-2-AMINO-3-HYDROXYPROPANOIC ACID', '(S)-SERINE', 'ALPHA-AMINO-BETA-HYDROXYPROPIONIC ACID', 'BETA-HYDROXYALANINE', 'L-SERINE', 'SER', 'SERINA', 'SERINE', 'SERINUM']
METHIONINE	['(2S)-2-AMINO-4-(METHYLSULFANYL)BUTANOIC ACID', '(S)-2-AMINO-4-(METHYLTHIO)BUTANOIC ACID', '(S)-2-AMINO-4-(METHYLTHIO)BUTYRIC ACID', '(S)-METHIONINE', 'L-(−)-METHIONINE', 'L-A-AMINO-G-METHYLTHIOBUTYRIC ACID', 'L-METHIONIN', 'L-METHIONINE', 'L-Α-AMINO-Γ-METHYLMERCAPTOBUTYRIC ACID', 'M', 'MET', 'METHIONINE']
TYROSINE	['(−)-Α-AMINO-P-HYDROXYHYDROCINNAMIC ACID', '(2S)-2-AMINO-3-(4-HYDROXYPHENYL)PROPANOIC ACID', '(S)-(-)-TYROSINE', '(S)-2-AMINO-3-(P-HYDROXYPHENYL)PROPIONIC ACID', '(S)-3-(P-HYDROXYPHENYL)ALANINE', '(S)-ALPHA-AMINO-4-HYDROXYBENZENEPROPANOIC ACID', '(S)-TYROSINE', '(S)-Α-AMINO-4-HYDROXYBENZENEPROPANOIC ACID', '4-HYDROXY-L-PHENYLALANINE', 'L-TYROSIN', 'L-TYROSINE', 'TIROSINA', 'TYR', 'TYROSINE', 'TYROSINUM', 'Y']
CALCITRIOL	['(1S,3R,5Z,7E)-9,10-SECOCHOLESTA-5,7,10-TRIENE-1,3,25-TRIOL', '(1Α,3Β,5Z,7E)-9,10-SECOCHOLESTA-5,7,10(19)-TRIENE-1,3,25-TRIOL', '(5Z,7E)-(1S,3R)-9,10-SECOCHOLESTA-5,7,10(19)-TRIENE-1,3,25-TRIOL', '1-ALPHA-25-DIHYDROXYVITAMIN D3', '1,25-DHCC', '1,25-DIHYDROXYCHOLECALCIFEROL', '1Α,25-DIHYDROXYCHOLECALCIFEROL', '1Α,25-DIHYDROXYVITAMIN D3', '1Α,25(OH)2D3', 'CALCITRIOL', 'CALCITRIOLUM']
LUTEIN	['XANTHOPHYLL', 'XANTOFYL']
CYSTINE	"[""(R,R)-3,3'-DITHIOBIS(2-AMINOPROPANOIC ACID)"", 'CISTINA', 'L-ALPHA-DIAMINO-BETA-DITHIOLACTIC ACID', 'L-CYSTINE', 'L-DICYSTEINE', ""Β,Β'-DITHIODIALANINE""]"
SUCCINIC ACID	['1,2-ETHANEDICARBOXYLIC ACID', 'ACIDE BUTANEDIOÏQUE', 'ACIDE SUCCINIQUE', 'ACIDUM SUCCINICUM', 'AMBER ACID', 'ASUCCIN', 'BERNSTEINSÄURE', 'BUTANDISÄURE', 'BUTANEDIOIC ACID', 'BUTANEDIONIC ACID', 'DIHYDROFUMARIC ACID', 'ETHYLENESUCCINIC ACID', 'SPIRIT OF AMBER', 'SUCCINIC ACID']
RIBOFLAVIN	['1-DEOXY-1-(7,8-DIMETHYL-2,4-DIOXO-3,4-DIHYDROBENZO[G]PTERIDIN-10(2H)-YL)PENTITOL', '6,7-DIMETHYL-9-D-RIBITYLISOALLOXAZINE', '7,8-DIMETHYL-10-(D-RIBO-2,3,4,5-TETRAHYDROXYPENTYL)ISOALLOXAZINE', '7,8-DIMETHYL-10-RIBITYLISOALLOXAZINE', 'LACTOFLAVIN', 'LACTOFLAVINE', 'RIBOFLAVIN', 'RIBOFLAVINA', 'RIBOFLAVINE', 'RIBOFLAVINUM', 'VITAMIN B2', 'VITAMIN BI', 'VITAMIN G']
N-ACETYLGLUCOSAMINE	['2-ACETAMIDO-2-DEOXY-D-GLUCOSE', 'ALDEHYDO-N-ACETYL-D-GLUCOSAMINE', 'D-GLCNAC', 'N-ACETYL-D-GLUCOSAMINE', 'N-ACETYLCHITOSAMINE']
GLUTAMIC ACID	['(2S)-2-AMINOPENTANEDIOIC ACID', '(S)-2-AMINOPENTANEDIOIC ACID', '(S)-GLUTAMIC ACID', 'ÁCIDO GLUTÁMICO', 'GLU', 'GLUTAMIC ACID', 'L-GLUTAMATE', 'L-GLUTAMIC ACID', 'L-GLUTAMINIC ACID']
GLUTATHIONE	['5-L-GLUTAMYL-L-CYSTEINYLGLYCINE', 'GAMMA-L-GLUTAMYL-L-CYSTEINYL-GLYCINE', 'GLUTATHIONE', 'GLUTATHIONE-SH', 'GSH', 'N-(N-GAMMA-L-GLUTAMYL-L-CYSTEINYL)GLYCINE', 'REDUCED GLUTATHIONE']
PHOSPHATIDYL SERINE	['PHOSPHATIDYL-L-SERINE', 'PHOSPHATIDYLSERINE', 'PS', 'PTD-L-SER']
GLYCINE	['AMINOACETIC ACID', 'AMINOESSIGSÄURE', 'AMINOETHANOIC ACID', 'GLICINA', 'GLY', 'GLYCIN', 'GLYCINE', 'GLYCOCOLL', 'GLYKOKOLL', 'GLYZIN', 'LEIMZUCKER']
CALCIFEDIOL	['(3S,5Z,7E)-9,10-SECOCHOLESTA-5,7,10-TRIENE-3,25-DIOL', '(3Β,5Z,7E)-9,10-SECOCHOLESTA-5,7,10(19)-TRIENE-3,25-DIOL', '(5Z,7E)-(3S)-9,10-SECOCHOLESTA-5,7,10(19)-TRIENE-3,25-DIOL', '25-HYDROXYCHOLECALCIFEROL', '25-HYDROXYVITAMIN D3', 'CALCIDIOL', 'CALCIFÉDIOL', 'CALCIFEDIOL', 'CALCIFEDIOL ANHYDROUS', 'CALCIFEDIOLUM']
PYRIDOXAL	['2-METHYL-3-HYDROXY-4-FORMYL-5-HYDROXYMETHYLPYRIDINE', '3-HYDROXY-5-(HYDROXYMETHYL)-2-METHYL-4-PYRIDINECARBOXALDEHYDE', '3-HYDROXY-5-(HYDROXYMETHYL)-2-METHYLISONICOTINALDEHYDE', '3-HYDROXY-5-(HYDROXYMETHYL)-2-METHYLPYRIDINE-4-CARBOXALDEHYDE', 'PIRIDOXAL', 'PYRIDOXALDEHYDE']
CREATINE	['((AMINO(IMINO)METHYL)(METHYL)AMINO)ACETIC ACID', '(ALPHA-METHYLGUANIDO)ACETIC ACID', '(N-METHYLCARBAMIMIDAMIDO)ACETIC ACID', '(Α-METHYLGUANIDO)ACETIC ACID', 'ALPHA-METHYLGUANIDINO ACETIC ACID', 'CREATIN', 'CREATINE', 'KREATIN', 'METHYLGLYCOCYAMINE', 'N-(AMINOIMINOMETHYL)-N-METHYLGLYCINE', 'N-AMIDINOSARCOSINE', 'N-CARBAMIMIDOYL-N-METHYLGLYCINE', 'N-METHYL-N-GUANYLGLYCINE']
L-LEUCINE	['(2S)-2-AMINO-4-METHYLPENTANOIC ACID', '(2S)-ALPHA-2-AMINO-4-METHYLVALERIC ACID', '(2S)-ALPHA-LEUCINE', '(S)-(+)-LEUCINE', '(S)-LEUCINE', '2-AMINO-4-METHYLVALERIC ACID', 'L', 'L-LEUCIN', 'L-LEUZIN', 'LEU', 'LEUCINE']
L-TRYPTOPHAN	['(2S)-2-AMINO-3-(1H-INDOL-3-YL)PROPANOIC ACID', '(S)-ALPHA-AMINO-BETA-(3-INDOLYL)-PROPIONIC ACID', '(S)-TRYPTOPHAN', '(S)-Α-AMINO-1H-INDOLE-3-PROPANOIC ACID', 'L-(-)-TRYPTOPHAN', 'L-(−)-TRYPTOPHAN', 'L-Β-3-INDOLYLALANINE', 'TRP', 'TRYPTOPHAN', 'W']
L-CYSTEINE	['(2R)-2-AMINO-3-MERCAPTOPROPANOIC ACID', '(2R)-2-AMINO-3-SULFANYLPROPANOIC ACID', '(R)-2-AMINO-3-MERCAPTOPROPANOIC ACID', 'CYS', 'CYSTEINE', 'FREE CYSTEINE', 'L-2-AMINO-3-MERCAPTOPROPIONIC ACID', 'L-CYS', 'L-CYSTEIN', 'L-ZYSTEIN']
THIAMINE	['ANEURIN', 'ANTIBERIBERI FACTOR', 'THIAMIN', 'THIAMINE', 'THIAMINE(1+)', 'THIAMINE(1+) ION', 'THIAMINIUM', 'TIAMINA', 'VITAMIN B1']
ERGOCALCIFEROL	['(3Β,5Z,7E,22E)-9,10-SECOERGOSTA-5,7,10(19),22-TETRAEN-3-OL', '(5Z,7E,22E)-(3S)-9,10-SECO-5,7,10(19),22-ERGOSTATETRAEN-3-OL', '(5Z,7E,22E)-(3S)-9,10-SECOERGOSTA-5,7,10(19),22-TETRAEN-3-OL', 'ACTIVATED ERGOSTEROL', 'ERCALCIOL', 'ERGOCALCIFÉROL', 'ERGOCALCIFEROL', 'ERGOCALCIFEROLUM', 'OLEOVITAMIN D2', 'VIOSTEROL', 'VITAMIN D2', 'VITAMINA D2']
DIHOMO-GAMMA-LINOLENIC ACID	['(8Z,11Z,14Z)-ICOSATRIENOIC ACID', '(Z,Z,Z)-8,11,14-EICOSATRIENOIC ACID', '(Z,Z,Z)-8,11,14-ICOSATRIENOATE', '(Z,Z,Z)-8,11,14-ICOSATRIENOIC ACID', '20:3, N-6,9,12 ALL-CIS', '8,11,14-EICOSATRIENOIC ACID', '8C,11C,14C-EICOSATRIENOIC ACID', '8C,11C,14C-EICOSATRIENSÄURE', 'ALL-CIS-8,11,14-EICOSATRIENOIC ACID', 'ALL-CIS-8,11,14-ICOSATRIENOIC ACID', 'ALL-CIS-EICOSA-8,11,14-TRIENOIC ACID', 'ALL-CIS-EICOSA-8,11,14-TRIENSÄURE', 'ALL-CIS-ICOSA-8,11,14-TRIENOIC ACID', 'C20:3, N-6,9,12 ALL-CIS', 'CIS,CIS,CIS-8,11,14-EICOSATRIENOIC ACID', 'DGLA', 'DIHOMO-Γ-LINOLENIC ACID', 'EICOSA-8Z,11Z,14Z-TRIENOIC ACID', 'GAMMA-HOMOLINOLENIC ACID', 'HOMO-GAMMA-LINOLENIC ACID', 'HOMO-GAMMA-LINOLENSÄURE', 'HOMO-Γ-LINOLENSÄURE']
L-CITRULLINE	['(S)-2-AMINO-5-UREIDOPENTANOIC ACID', '2-AMINO-5-UREIDOVALERIC ACID', 'ALPHA-AMINO-DELTA-UREIDOVALERIC ACID', 'CIT', 'CITRULINA', 'CITRULLINE', 'DELTA-UREIDONORVALINE', 'L-2-AMINO-5-UREIDOVALERIC ACID', 'N(5)-(AMINOCARBONYL)-L-ORNITHINE', 'N(DELTA)-CARBAMYLORNITHINE', 'N5-(AMINOCARBONYL)ORNITHINE', 'N5-CARBAMOYL-L-ORNITHINE', 'N5-CARBAMOYLORNITHINE', 'Α-AMINO-Δ-UREIDOVALERIC ACID', 'Δ-UREIDONORVALINE']
L-THREONINE	['(2S,3R)-(-)-THREONINE', '(2S)-THREONINE', '2-AMINO-3-HYDROXYBUTYRIC ACID', 'L-(-)-THREONINE', 'L-2-AMINO-3-HYDROXYBUTYRIC ACID', 'L-ALPHA-AMINO-BETA-HYDROXYBUTYRIC ACID', 'L-THREONIN', 'L-Α-AMINO-Β-HYDROXYBUTYRIC ACID', 'THR', 'THREONINE']
NADH	['1,4-DIHYDRONICOTINAMIDE ADENINE DINUCLEOTIDE', 'DPNH', 'NAD REDUCED FORM', 'NICOTINAMIDE ADENINE DINUCLEOTIDE (REDUCED)', 'NICOTINAMIDE-ADENINE DINUCLEOTIDE, REDUCED', 'REDUCED NICOTINAMIDE ADENINE DIPHOSPHATE', 'REDUCED NICOTINAMIDE-ADENINE DINUCLEOTIDE']
FOLIC ACID	['ÁCIDO FÓLICO', 'FOLACIN', 'FOLATE', 'FOLIC ACID', 'FOLSÄURE', 'N-[(4-{[(2-AMINO-4-OXO-1,4-DIHYDROPTERIDIN-6-YL)METHYL]AMINO}PHENYL)CARBONYL]-L-GLUTAMIC ACID', 'N-PTEROYL-L-GLUTAMIC ACID', 'PGA', 'PTEGLU', 'PTEROYL-L-GLUTAMATE', 'PTEROYL-L-GLUTAMIC ACID', 'PTEROYL-L-MONOGLUTAMIC ACID', 'PTEROYLGLUTAMIC ACID', 'VITAMIN B9', 'VITAMIN BC', 'VITAMIN M']
ICOSAPENT	['(5Z,8Z,11Z,14Z,17Z)-5,8,11,14,17-EICOSAPENTAENOIC ACID', '(5Z,8Z,11Z,14Z,17Z)-EICOSAPENTAENOATE', '(5Z,8Z,11Z,14Z,17Z)-EICOSAPENTAENOIC ACID', '(5Z,8Z,11Z,14Z,17Z)-ICOSAPENTAENOIC ACID', '(ALL-Z)-5,8,11,14,17-EICOSAPENTAENOIC ACID', '5,8,11,14,17-EICOSAPENTAENOIC ACID', '5,8,11,14,17-ICOSAPENTAENOIC ACID', 'ALL-CIS-5,8,11,14,17-EICOSAPENTAENOIC ACID', 'ALL-CIS-5,8,11,14,17-ICOSAPENTAENOIC ACID', 'ALL-CIS-ICOSA-5,8,11,14,17-PENTAENOIC ACID', 'CIS-5,8,11,14,17-EICOSAPENTAENOIC ACID', 'CIS-5,8,11,14,17-EPA', 'CIS-DELTA(5,8,11,14,17)-EICOSAPENTAENOIC ACID', 'EICOSAPENTAENOIC ACID', 'EPA', 'ICOSAPENT', 'ICOSAPENTAENOIC ACID', 'ICOSAPENTO', 'ICOSAPENTUM', 'TIMNODONIC ACID']
L-ALANINE	['(2S)-2-AMINOPROPANOIC ACID', '(S)-2-AMINOPROPANOIC ACID', '(S)-ALANINE', 'ALANINA', 'ALANINE', 'L-2-AMINOPROPIONIC ACID', 'L-ALANIN', 'L-ALPHA-ALANINE', 'L-Α-ALANINE']
L-VALINE	['(2S)-2-AMINO-3-METHYLBUTANOIC ACID', '(S)-VALINE', '2-AMINO-3-METHYLBUTYRIC ACID', 'L-(+)-ALPHA-AMINOISOVALERIC ACID', 'L-ALPHA-AMINO-BETA-METHYLBUTYRIC ACID', 'VAL', 'VALINE']
VITAMIN A	['(2E,4E,6E,8E)-3,7-DIMETHYL-9-(2,6,6-TRIMETHYLCYCLOHEX-1-EN-1-YL)NONA-2,4,6,8-TETRAEN-1-OL', 'ALL-TRANS-RETINOL', 'ALL-TRANS-RETINYL ALCOHOL', 'ALL-TRANS-VITAMIN A ALCOHOL', 'RETINOL', 'VITAMIN A1']
VITAMIN E	"['(+)-Α-TOCOPHEROL', ""(2R,4'R,8'R)-Α-TOCOPHEROL"", '(2R)-2,5,7,8-TETRAMETHYL-2-[(4R,8R)-4,8,12-TRIMETHYLTRIDECYL]CHROMAN-6-OL', '(R,R,R)-Α-TOCOPHEROL', '5,7,8-TRIMETHYLTOCOL', 'ALPHA-TOCOPHEROL', 'D-Α-TOCOPHEROL']"
PYRIDOXINE	['2-METHYL-3-HYDROXY-4,5-DIHYDROXYMETHYLPYRIDINE', '3-HYDROXY-4,5-BIS(HYDROXYMETHYL)-2-METHYLPYRIDINE', '3-HYDROXY-4,5-DIMETHYLOL-Α-PICOLINE', '5-HYDROXY-6-METHYL-3,4-PYRIDINEDIMETHANOL', 'PIRIDOXINA', 'PYRIDOXINE', 'PYRIDOXOL', 'VITAMIN B6']
LIPOIC ACID	['(+)-ALPHA-LIPOIC ACID', '(R)-(+)-LIPOATE', '(R)-(+)-LIPOIC ACID', '(R)-1,2-DITHIOLANE-3-PENTANOIC ACID', '(R)-1,2-DITHIOLANE-3-VALERIC ACID', '(R)-6,8-THIOCTIC ACID', '(R)-LIPOIC ACID', 'ALPHA LIPOIC ACID', 'ALPHA-LIPOIC ACID', 'ALPHA-LIPONSÄURE', 'D-THIOCTIC ACID', 'R-(+)-THIOCTIC ACID', 'R-ALPHA-LIPOIC ACID', 'THIOCTIC ACID', 'THIOCTIC ACID D-FORM', 'Α-LIPOIC ACID']
ISOLEUCINE	['(2S,3S)-2-AMINO-3-METHYLPENTANOIC ACID', '2-AMINO-3-METHYLVALERIC ACID', 'ALPHA-AMINO-BETA-METHYLVALERIC ACID', 'ILE', 'ISOLEUCINA', 'ISOLEUCINE', 'ISOLEUCINUM', 'L-ISOLEUCINE', 'Α-AMINO-Β-METHYLVALERIC ACID']
ASPARTAME	['1-METHYL N-L-ALPHA-ASPARTYL-L-PHENYLALANATE', '1-METHYL N-L-Α-ASPARTYL-L-PHENYLALANATE', '3-AMINO-N-(ALPHA-CARBOXYPHENETHYL)SUCCINAMIC ACID N-METHYL ESTER', '3-AMINO-N-(ALPHA-METHOXYCARBONYLPHENETHYL) SUCCINAMIC ACID', '3-AMINO-N-(Α-CARBOXYPHENETHYL)SUCCINAMIC ACID N-METHYL ESTER', '3-AMINO-N-(Α-METHOXYCARBONYLPHENETHYL) SUCCINAMIC ACID', 'ASP-PHE-OME', 'ASPARTAM', 'ASPARTAME', 'ASPARTAMO', 'ASPARTAMUM', 'ASPARTYLPHENYLALANINE METHYL ESTER', 'L-ASPARTYL-L-PHENYLALANINE METHYL ESTER']
CHOLECALCIFEROL	['(+)-VITAMIN D3', '(3Β,5Z,7E)-9,10-SECOCHOLESTA-5,7,10(19)-TRIEN-3-OL', '(5Z,7E)-(3S)-9,10-SECOCHOLESTA-5,7,10(19)-TRIEN-3-OL', 'ACTIVATED 7-DEHYDROCHOLESTEROL', 'CALCIOL', 'CC', 'CHOLECALCIFEROL', 'COLECALCIFEROL', 'COLECALCIFEROLUM', 'OLEOVITAMIN D3', 'VITAMIN D-3', 'VITAMIN D3']
MENADIONE	['2-METHYL-1,4-NAPHTHALENEDIONE', '2-METHYL-1,4-NAPHTHOCHINON', '2-METHYL-1,4-NAPHTHOQUINONE', 'VITAMIN K 3', 'VITAMIN K3']
ATP	"[""ADENOSINE 5'-TRIPHOSPHATE"", 'ADENOSINE TRIPHOSPHATE', ""ADENOSINE-5'-TRIPHOSPHATE"", 'ATP']"
PROLINE	['(-)-2-PYRROLIDINECARBOXYLIC ACID', '(−)-(S)-PROLINE', '(−)-2-PYRROLIDINECARBOXYLIC ACID', '(−)-PROLINE', '(2S)-PYRROLIDINE-2-CARBOXYLIC ACID', '(S)-2-CARBOXYPYRROLIDINE', '(S)-2-PYRROLIDINECARBOXYLIC ACID', '(S)-PYRROLIDINE-2-CARBOXYLIC ACID', '2-PYRROLIDINECARBOXYLIC ACID', 'L-(−)-PROLINE', 'L-ALPHA-PYRROLIDINECARBOXYLIC ACID', 'L-PROLIN', 'L-PROLINE', 'L-PYRROLIDINE-2-CARBOXYLIC ACID', 'L-Α-PYRROLIDINECARBOXYLIC ACID', 'P', 'PROLINA', 'PROLINE', 'PROLINUM']
ADENINE	['6-AMINOPURINE', 'ADENIN', 'VITAMIN B4']
ASPARAGINE	['(2S)-2-AMINO-3-CARBAMOYLPROPANOIC ACID', '(2S)-2,4-DIAMINO-4-OXOBUTANOIC ACID', '(S)-2-AMINO-3-CARBAMOYLPROPANOIC ACID', '(S)-ASPARAGINE', '2-AMINOSUCCINAMIC ACID', 'ALPHA-AMINOSUCCINAMIC ACID', 'ASN', 'ASPARAGINE', 'ASPARTAMIC ACID', 'L-2-AMINOSUCCINAMIC ACID', 'L-ASPARAGINE', 'L-ASPARTIC ACID BETA-AMIDE', 'L-ASPARTIC ACID Β-AMIDE', 'Α-AMINOSUCCINAMIC ACID']
PRAVASTATIN	['(+)-(3R,5R)-3,5-DIHYDROXY-7-[(1S,2S,6S,8S,8AR)-6-HYDROXY-2-METHYL-8-{[(S)-2-METHYLBUTYRYL]OXY}-1,2,6,7,8,8A-HEXAHYDRO-1-NAPHTHYL]HEPTANOIC ACID', 'PRAVASTATIN', 'PRAVASTATIN ACID', 'PRAVASTATINA', 'PRAVASTATINE', 'PRAVASTATINUM']
FLUVOXAMINE	['FLUVOXAMINA', 'FLUVOXAMINE', 'FLUVOXAMINUM']
VALSARTAN	"[""(S)-N-VALERYL-N-{[2'-(1H-TETRAZOL-5-YL)BIPHENYL-4-YL]-METHYL}-VALINE"", 'N-(P-(O-1H-TETRAZOL-5-YLPHENYL)BENZYL)-N-VALERYL-L-VALINE', ""N-PENTANOYL-N-{[2'-(1H-TETRAZOL-5-YL)BIPHENYL-4-YL]METHYL}-L-VALINE"", 'VALSARTAN']"
RAMIPRIL	['(2S-(1(R*(R*)),2ALPHA,3ABETA,6ABETA))-1-(2-((1-(ETHOXYCARBONYL)-3-PHENYLPROPYL)AMINO)-1-OXOPROPYL)OCTAHYDROCYCLOPENTA(B)PYRROLE-2-CARBOXYLIC ACID', 'RAMIPRIL', 'RAMIPRILUM']
MASOPROCOL	"['ERYTHRO-NORDIHYDROGUAIARETIC ACID', 'MASOPROCOL', 'MASOPROCOLUM', 'MESO-1,4-BIS(3,4-DIHYDROXYPHENYL)-2,3-DIMETHYLBUTANE', 'MESO-2,3-BIS(3,4-DIHYDROXYPHENYLMETHYL)BUTANE', 'MESO-4-[4-(3,4-DIHYDROXYPHENYL)-2,3-DIMETHYLBUTYL]BENZENE-1,2-DIOL', ""MESO-4,4'-(2,3-DIMETHYL-1,4-BUTANEDIYL)BIS(PYROCATECHOL)"", ""MESO-4,4'-(2,3-DIMETHYLTETRAMETHYLENE)DIPYROCATECHOL"", 'MESO-NDGA', 'MESO-NORDIHYDROGUAIARETIC ACID', 'MESO-Β,Γ-DIMETHYL-Α,Δ-BIS(3,4-DIHYDROXYPHENYL)BUTAN', 'NORDIHYDROGUAIARETIC ACID']"
FLUNISOLIDE	['FLUNISOLIDA', 'FLUNISOLIDE', 'FLUNISOLIDE ANHYDROUS', 'FLUNISOLIDUM']
BACLOFEN	['(+-)-BACLOFEN', '4-AMINO-3-(4-CHLOROPHENYL)BUTYRIC ACID', 'BACLOFEN', 'BACLOFÈNE', 'BACLOFENO', 'BACLOFENUM', 'BETA-(4-CHLOROPHENYL)GABA', 'BETA-(AMINOMETHYL)-4-CHLOROBENZENEPROPANOIC ACID', 'BETA-(AMINOMETHYL)-P-CHLOROHYDROCINNAMIC ACID', 'BETA-(P-CHLOROPHENYL)-GAMMA-AMINOBUTYRIC ACID', 'DL-4-AMINO-3-P-CHLOROPHENYLBUTANOIC ACID', 'DL-BACLOFEN', 'GAMMA-AMINO-BETA-(P-CHLOROPHENYL)BUTYRIC ACID']
AMPHETAMINE	['(+-)-ALPHA-METHYLPHENYLETHYLAMINE', '1-PHENYL-2-AMINOPROPANE', 'ALPHA-METHYLBENZENEETHANEAMINE', 'AMFETAMINA', 'AMFETAMINE', 'AMFETAMINUM', 'AMPHETAMINE', 'BETA-AMINOPROPYLBENZENE', 'BETA-PHENYLISOPROPYLAMIN', 'DESOXYNOREPHEDRINE', 'RAC-(2R)-1-PHENYLPROPAN-2-AMINE', 'RAC-AMPHETAMINE', 'Α-METHYLBENZENEETHANEAMINE', 'Α-METHYLPHENETHYLAMINE', 'Β-AMINOPROPYLBENZENE', 'Β-PHENYLISOPROPYLAMINE']
PENTAGASTRIN	['PENTAGASTRIN']
NICOTINE	['(−)-NICOTINE', '(S)-(−)-NICOTINE', '(S)-3-(1-METHYLPYRROLIDIN-2-YL)PYRIDINE', '(S)-3-(N-METHYLPYRROLIDIN-2-YL)PYRIDINE', '(S)-NICOTINE', '3-(2-(N-METHYLPYRROLIDINYL))PYRIDINE', '3-(N-METHYLPYROLLIDINO)PYRIDINE', 'L(−)-NICOTINE', 'NICOTINA', 'NICOTINE BETADEX', 'NICOTINE POLACRILEX', 'NIKOTIN', 'NIKOTYNA']
CEVIMELINE	['2-METHYSPIRO(1,3-OXATHIOLANE-5,3)QUINUCLIDINE', 'CEVIMELINA', 'CÉVIMÈLINE', 'CEVIMELINE', 'CEVIMELINUM']
LORAZEPAM	['LORACEPAM', 'LORAZEPAM', 'O-CHLOROOXAZEPAM', 'O-CHLOROXAZEPAM']
ESMOLOL	['(±)-ESMOLOL', '(±)-METHYL P-(2-HYDROXY-3-(ISOPROPYLAMINO)PROPOXY)HYDROCINNAMATE', '3-[4-(2-HYDROXY-3-ISOPROPYLAMINO-PROPOXY)-PHENYL]-PROPIONIC ACID METHYL ESTER', 'ESMOLOL', 'METHYL 4-(2-HYDROXY-3-((1-METHYLETHYL)AMINO)PROPOXY)BENZENEPROPANOATE', 'METHYL P-(2-HYDROXY-3-(ISOPROPYLAMINO)PROPOXY)HYDROCINNAMATE']
BORTEZOMIB	['[(1R)-3-METHYL-1-({(2S)-3-PHENYL-2-[(PYRAZIN-2-YLCARBONYL)AMINO]PROPANOYL}AMINO)BUTYL]BORONIC ACID', 'BORTEZOMIB', 'N-[(1R)-1-(DIHYDROXYBORYL)-3-METHYLBUTYL]-N-(PYRAZIN-2-YLCARBONYL)-L-PHENYLALANINAMIDE']
ETHCHLORVYNOL	['1-CHLORO-3-ETHYL-1-PENTEN-4-YN-3-OL', '1-CHLORO-3-ETHYL-PENT-1-EN-4-YN-3-OL', '3-(BETA-CHLOROVINYL)-1-PENTYN-3-OL', '3-(Β-CHLOROVINYL)-1-PENTYN-3-OL', 'ETCLORVINOL', 'ETHCHLORVYNOL', 'ETHYL Β-CHLOROVINYL ETHYNYL CARBINOL', 'Β-CHLOROVINYL ETHYL ETHYNYL CARBINOL']
CARBIDOPA	['(-)-L-ALPHA-HYDRAZINO-3,4-DIHYDROXY-ALPHA-METHYLHYDROCINNAMIC ACID MONOHYDRATE', '(S)-(−)-CARBIDOPA', '(S)-CARBIDOPA', '(ΑS)-Α-HYDRAZINO-3,4-DIHYDROXY-Α-METHYLBENZENEPROPANOIC ACID', 'CARBIDOPA', 'CARBIDOPA (ANHYDROUS)', 'CARBIDOPA ANHYDROUS', 'CARBIDOPUM', 'L-3-(3,4-DIHYDROXYPHENYL)-2-METHYL-2-HYDRAZINOPROPIONIC ACID', 'L-Α-METHYLDOPAHYDRAZINE']
