A	ALIMENTARY TRACT AND METABOLISM
A11A A01	MULTIVITAMINS AND IRON
A11A A02	MULTIVITAMINS AND CALCIUM
A11A A03	"MULTIVITAMINS AND OTHER MINERALS, INCL. COMBINATIONS"
A11A A04	MULTIVITAMINS AND TRACE ELEMENTS
A11A B	"MULTIVITAMINS, OTHER COMBINATIONS"
A11B	"MULTIVITAMINS, PLAIN"
A11B A	"MULTIVITAMINS, PLAIN"
A11C	"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
A11C A	"VITAMIN A, PLAIN"
A11C A01	RETINOL (VIT A)
A11C B	VITAMIN A AND D IN COMBINATION
A11C C	VITAMIN D AND ANALOGUES
A11C C01	ERGOCALCIFEROL
A11C C02	DIHYDROTACHYSTEROL
A11C C03	ALFACALCIDOL
A11C C04	CALCITRIOL
A11C C05	COLECALCIFEROL
A11C C06	CALCIFEDIOL
A11C C07	PARICALCITOL - OLD CODE
A11C C20	COMBINATIONS
A11C C55	"COLECALCIFEROL, COMBINATIONS"
A11D	"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12"
A11D A	"VITAMIN B1, PLAIN"
A11D A01	THIAMINE (VIT B1)
A11D A02	SULBUTIAMINE
A11D A03	BENFOTIAMINE
A11D B	VITAMIN B1 IN COMBINATION WITH VITAMIN B6 AND/OR VITAMIN B12
A11E	"VITAMIN B-COMPLEX, INCL. COMBINATIONS"
A11E A	"VITAMIN B-COMPLEX, PLAIN"
A11E B	VITAMIN B-COMPLEX WITH VITAMIN C
A11E C	VITAMIN B-COMPLEX WITH MINERALS
A11E D	VITAMIN B-COMPLEX WITH ANABOLIC STEROIDS
A11E X	"VITAMIN B-COMPLEX, OTHER COMBINATIONS"
A11G	"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS"
A11G A	"ASCORBIC ACID (VITAMIN C), PLAIN"
A11G A01	ASCORBIC ACID (VIT C)
A11G B	"ASCORBIC ACID (VITAMIN C), COMBINATIONS"
A11G B01	ASCORBIC ACID (VIT C) AND CALCIUM
A11H	OTHER PLAIN VITAMIN PREPARATIONS
A11H A	OTHER PLAIN VITAMIN PREPARATIONS
A11H A01	NICOTINAMIDE
A11H A02	PYRIDOXINE (VIT B6)
A11H A03	TOCOPHEROL (VIT E)
A11H A04	RIBOFLAVIN (VIT B2)
A11H A05	BIOTIN
A11H A06	PYRIDOXAL PHOSPHATE
A11H A07	INOSITOL
A11H A08	TOCOFERSOLAN
A11H A30	DEXPANTHENOL
A11H A31	CALCIUM PANTOTHENATE
A11H A32	PANTETHINE
A11J	"OTHER VITAMIN PRODUCTS, COMBINATIONS"
A11J A	COMBINATIONS OF VITAMINS
A11J B	VITAMINS WITH MINERALS
A11J C	"VITAMINS, OTHER COMBINATIONS"
A12	MINERAL SUPPLEMENTS
A12A	CALCIUM
A12A A	CALCIUM
A12A A01	CALCIUM PHOSPHATE
A12A A02	CALCIUM GLUBIONATE
A12A A03	CALCIUM GLUCONATE
A12A A04	CALCIUM CARBONATE
A12A A05	CALCIUM LACTATE
A12A A06	CALCIUM LACTATE GLUCONATE
A12A A07	CALCIUM CHLORIDE
A12A A08	CALCIUM GLYCERYLPHOSPHATE
A12A A09	CALCIUM CITRATE LYSINE COMPLEX
A12A A10	CALCIUM GLUCOHEPTONATE
A12A A11	CALCIUM PANGAMATE
A12A A12	CALCIUM ACETATE ANHYDROUS - OLD CODE
A12A A13	CALCIUM CITRATE
A12A A20	CALCIUM (DIFFERENT SALTS IN COMBINATION)
A12A A30	CALCIUM LAEVULATE
A12A X	"CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS"
A12A X01	"CALCIUM, COMBINATIONS WITH COLECALCIFEROL"
A12B	POTASSIUM
A12B A	POTASSIUM
A12B A01	POTASSIUM CHLORIDE
A12B A02	POTASSIUM CITRATE
A12B A03	POTASSIUM HYDROGENTARTRATE
A12B A04	POTASSIUM HYDROGENCARBONATE
A12B A05	POTASSIUM GLUCONATE
A12B A30	COMBINATIONS
A12B A51	"POTASSIUM CHLORIDE, COMBINATIONS"
A12C	OTHER MINERAL SUPPLEMENTS
A12C A	SODIUM
A12C A01	SODIUM CHLORIDE
A12C A02	SODIUM SULFATE
A12C B	ZINC
A12C B01	ZINC SULFATE
A12C B02	ZINC GLUCONATE
A12C B03	ZINC PROTEIN COMPLEX
A12C C	MAGNESIUM
A12C C01	MAGNESIUM CHLORIDE
A12C C02	MAGNESIUM SULFATE
A12C C03	MAGNESIUM GLUCONATE
A12C C04	MAGNESIUM CITRATE
A12C C05	MAGNESIUM ASPARTATE
A12C C06	MAGNESIUM LACTATE
A12C C07	MAGNESIUM LEVULINATE
A12C C08	MAGNESIUM PIDOLATE
A12C C09	MAGNESIUM OROTATE
A12C C30	MAGNESIUM (DIFFERENT SALTS IN COMBINATION)
A12C D	FLUORIDE
A12C D01	SODIUM FLUORIDE
A12C D02	SODIUM MONOFLUOROPHOSPHATE
A12C D51	"FLUORIDE, COMBINATIONS"
A12C E	SELENIUM
A12C E01	SODIUM SELENATE
A12C E02	SELENIUM SALTS
A12C X	OTHER MINERAL PRODUCTS
A13	TONICS
A13A	TONICS
A14	ANABOLIC AGENTS FOR SYSTEMIC USE
A14A	ANABOLIC STEROIDS
A14A A	ANDROSTAN DERIVATIVES
A14A A01	ANDROSTANOLONE
A14A A02	STANOZOLOL
A14A A03	METANDIENONE
A14A A04	METENOLONE
A14A A05	OXYMETHOLONE
A14A A06	QUINBOLONE
A14A A07	PRASTERONE
A14A A08	OXANDROLONE
A14A A09	NORETHANDROLONE
A14A B	ESTREN DERIVATIVES
A14A B01	NANDROLONE
A14A B02	ETHYLESTRENOL
A14A B03	OXABOLONE CIPIONATE
A14B	OTHER ANABOLIC AGENTS
A15	APPETITE STIMULANTS
A16	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16A	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16A A	AMINO ACIDS AND DERIVATIVES
A16A A01	LEVOCARNITINE
A16A A02	ADEMETIONINE
A16A A03	LEVOGLUTAMIDE
A16A A04	MERCAPTAMINE
A16A A05	CARGLUMIC ACID
A16A A06	BETAINE
A16A A07	METRELEPTIN
A16A B	ENZYMES
A16A B01	ALGLUCERASE
A16A B02	IMIGLUCERASE
A16A B03	AGALSIDASE ALFA
A16A B04	AGALSIDASE BETA
A16A B05	LARONIDASE
A16A B06	SACROSIDASE
A16A B07	ALGLUCOSIDASE ALFA
A16A B08	GALSULFASE
A16A B09	IDURSULFASE
A16A B10	VELAGLUCERASE ALFA
A16A B11	TALIGLUCERASE ALFA
A16A B12	ELOSULFASE ALFA
A16A B13	ASFOTASE ALFA
A16A B14	SEBELIPASE ALFA
A16A B15	VELMANASE ALFA
A16A B16	IDURSULFASE BETA
A16A B17	CERLIPONASE ALFA
A16A B18	VESTRONIDASE ALFA
A16A X	VARIOUS ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16A X01	TIOCTIC ACID
A16A X02	ANETHOLE TRITHIONE
A16A X03	SODIUM PHENYLBUTYRATE
A16A X04	NITISINONE
A16A X05	ZINC ACETATE
A16A X06	MIGLUSTAT
A16A X07	SAPROPTERIN
A16A X08	TEDUGLUTIDE
A16A X09	GLYCEROL PHENYLBUTYRATE
A16A X10	ELIGLUSTAT
A16A X11	SODIUM BENZOATE
A16A X12	TRIENTINE
A16A X13	URIDINE TRIACETATE
A16A X14	MIGALASTAT
B	BLOOD AND BLOOD FORMING ORGANS
B01	ANTITHROMBOTIC AGENTS
B01A	ANTITHROMBOTIC AGENTS
B01A A	VITAMIN K ANTAGONISTS
B01A A01	DICOUMAROL
B01A A02	PHENINDIONE
B01A A03	WARFARIN
B01A A04	PHENPROCOUMON
B01A A07	ACENOCOUMAROL
B01A A08	ETHYL BISCOUMACETATE
B01A A09	CLORINDIONE
B01A A10	DIPHENADIONE
B01A A11	TIOCLOMAROL
B01A A12	FLUINDIONE
B01A B	HEPARIN GROUP
B01A B01	HEPARIN
B01A B02	ANTITHROMBIN III
B01A B04	DALTEPARIN
B01A B05	ENOXAPARIN
B01A B06	NADROPARIN
B01A B07	PARNAPARIN
B01A B08	REVIPARIN
B01A B09	DANAPAROID
B01A B10	TINZAPARIN
B01A B11	SULODEXIDE
B01A B12	BEMIPARIN
B01A B51	"HEPARIN, COMBINATIONS"
B01A C	PLATELET AGGREGATION INHIBITORS EXCL. HEPARIN
B01A C01	DITAZOLE
B01A C02	CLORICROMEN
B01A C03	PICOTAMIDE
B01A C04	CLOPIDOGREL
B01A C05	TICLOPIDINE
B01A C06	ACETYLSALICYLIC ACID
B01A C07	DIPYRIDAMOLE
B01A C08	CARBASALATE CALCIUM
B01A C09	EPOPROSTENOL
B01A C10	INDOBUFEN
B01A C11	ILOPROST
B01A C13	ABCIXIMAB
B01A C14	ANAGRELIDE - OLD CODE
B01A C15	ALOXIPRIN
B01A C16	EPTIFIBATIDE
B01A C17	TIROFIBAN
B01A C18	TRIFLUSAL
B01A C19	BERAPROST
B01A C21	TREPROSTINIL
B01A C22	PRASUGREL
B01A C23	CILOSTAZOL
B01A C24	TICAGRELOR
B01A C25	CANGRELOR
B01A C26	VORAPAXAR
B01A C27	SELEXIPAG
B01A C30	COMBINATIONS
B01A C56	"ACETYLSALICYLIC ACID, COMBINATIONS WITH PROTON PUMP INHIBITORS"
B01A D	ENZYMES
B01A D01	STREPTOKINASE
B01A D02	ALTEPLASE
B01A D03	ANISTREPLASE
B01A D04	UROKINASE
B01A D05	FIBRINOLYSIN
B01A D06	BRINASE
B01A D07	RETEPLASE
B01A D08	SARUPLASE
B01A D09	ANCROD
B01A D10	DROTRECOGIN ALFA
B01A D11	TENECTEPLASE
B01A D12	PROTEIN C
B01A E	DIRECT THROMBIN INHIBITORS
B01A E01	DESIRUDIN
B01A E02	LEPIRUDIN
B01A E03	ARGATROBAN
B01A E04	MELAGATRAN
B01A E05	XIMELAGATRAN
B01A E06	BIVALIRUDIN
B01A E07	DABIGATRAN ETEXILATE
B01A F	DIRECT FACTOR Xa INHIBITORS
B01A F01	RIVAROXABAN
B01A F02	APIXABAN
B01A F03	EDOXABAN
B01A X	OTHER ANTITHROMBOTIC AGENTS
B01A X01	DEFIBROTIDE
B01A X02	DESIRUDIN - OLD CODE
B01A X03	LEPIRUDIN - OLD CODE
B01A X04	DERMATAN SULFATE
B01A X05	FONDAPARINUX
B01A X06	RIVAROXABAN - OLD CODE
B02	ANTIHEMORRHAGICS
B02A	ANTIFIBRINOLYTICS
B02A A	AMINO ACIDS
B02A A01	AMINOCAPROIC ACID
B02A A02	TRANEXAMIC ACID
B02A A03	AMINOMETHYLBENZOIC ACID
B02A B	PROTEINASE INHIBITORS
B02A B01	APROTININ
B02A B02	ALFA1 ANTITRYPSIN
B02A B03	C1-INHIBITOR - OLD CODE
B02A B04	CAMOSTAT
B02B	VITAMIN K AND OTHER HEMOSTATICS
B02B A	VITAMIN K
B02B A01	PHYTOMENADIONE
B02B A02	MENADIONE
B02B B	FIBRINOGEN
B02B B01	HUMAN FIBRINOGEN
B02B C	LOCAL HEMOSTATICS
B02B C01	ABSORBABLE GELATIN SPONGE
B02B C02	OXIDIZED CELLULOSE
B02B C03	TETRAGALACTURONIC ACID HYDROXYMETHYLESTER
B02B C05	ADRENALONE
B02B C06	THROMBIN
B02B C07	COLLAGEN
B02B C08	CALCIUM ALGINATE
B02B C09	EPINEPHRINE
B02B C10	TISSUE ADHESIVES - OLD CODE
B02B C30	COMBINATIONS
B02B D	BLOOD COAGULATION FACTORS
B02B D01	"COAGULATION FACTOR IX, II, VII AND X IN COMBINATION"
B02B D02	COAGULATION FACTOR VIII
B02B D03	FACTOR VIII INHIBITOR BYPASSING ACTIVITY
B02B D04	COAGULATION FACTOR IX
B02B D05	COAGULATION FACTOR VII
B02B D06	VON WILLEBRAND FACTOR AND COAGULATION FACTOR VIII IN COMBINATION
B02B D07	COAGULATION FACTOR XIII
B02B D08	COAGULATION FACTOR VIIA
B02B D09	NONACOG ALFA - OLD CODE
B02B D10	VON WILLEBRAND FACTOR
B02B D11	CATRIDECACOG
B02B D12	TRENONACOG ALFA - OLD CODE
B02B D13	COAGULATION FACTOR X
B02B D14	SUSOCTOCOG ALFA
B02B D30	THROMBIN
B02B X	OTHER SYSTEMIC HEMOSTATICS
B02B X01	ETAMSYLATE
B02B X02	CARBAZOCHROME
B02B X03	BATROXOBIN
B02B X04	ROMIPLOSTIM
B02B X05	ELTROMBOPAG
B02B X06	EMICIZUMAB
B03	ANTIANEMIC PREPARATIONS
B03A	IRON PREPARATIONS
B03A A	"IRON BIVALENT, ORAL PREPARATIONS"
B03A A01	FERROUS GLYCINE SULFATE
B03A A02	FERROUS FUMARATE
B03A A03	FERROUS GLUCONATE
B03A A04	FERROUS CARBONATE
B03A A05	FERROUS CHLORIDE
B03A A06	FERROUS SUCCINATE
B03A A07	FERROUS SULFATE
B03A A08	FERROUS TARTRATE
B03A A09	FERROUS ASPARTATE
B03A A10	FERROUS ASCORBATE
B03A A11	FERROUS IODINE
B03A B	"IRON TRIVALENT, ORAL PREPARATIONS"
B03A B01	FERRIC SODIUM CITRATE
B03A B02	SACCHARATED IRON OXIDE
B03A B03	SODIUM FEREDETATE
B03A B04	FERRIC HYDROXIDE
B03A B05	FERRIC OXIDE POLYMALTOSE COMPLEXES
B03A B06	FERRIC CITRATE - OLD CODE
B03A B07	CHONDROITIN SULFATE-IRON COMPLEX
B03A B08	FERRIC ACETYL TRANSFERRIN
B03A B09	FERRIC PROTEINSUCCINYLATE
B03A B10	FERRIC MALTOL
B03A C	"IRON, PARENTERAL PREPARATIONS"
B03A C01	FERRIC OXIDE POLYMALTOSE COMPLEXES - OLD CODE
B03A C02	SACCHARATED IRON OXIDE - OLD CODE
B03A C03	IRON-SORBITOL-CITRIC ACID COMPLEX - OLD CODE
B03A C04	FERRIC OXIDE POLYMALTOSE COMPLEX - OLD CODE
B03A C05	FERRIC SORBITOL GLUCONIC ACID COMPLEX - OLD CODE
B03A C06	FERRIC OXIDE DEXTRAN COMPLEXES - OLD CODE
B03A C07	FERRIC SODIUM GLUCONATE COMPLEX - OLD CODE
B03A D	IRON IN COMBINATION WITH FOLIC ACID
B03A D01	FERROUS AMINO ACID COMPLEX
B03A D02	FERROUS FUMARATE WITH FOLIC ACID
B03A D03	FERROUS SULFATE WITH FOLIC ACID
B03A D04	FERRIC OXIDE POLYMALTOSE COMPLEXES
B03A E	IRON IN OTHER COMBINATIONS
B03A E01	"IRON, VITAMIN B12 AND FOLIC ACID"
B03A E02	"IRON, MULTIVITAMINS AND FOLIC ACID"
B03A E03	IRON AND MULTIVITAMINS
B03A E04	"IRON, MULTIVITAMINS AND MINERALS"
B03A E10	VARIOUS COMBINATIONS
B03B	VITAMIN B12 AND FOLIC ACID
B03B A	VITAMIN B12 (CYANOCOBALAMIN AND ANALOGUES)
B03B A01	CYANOCOBALAMIN
B03B A02	CYANOCOBALAMIN TANNIN COMPLEX
B03B A03	HYDROXOCOBALAMIN
B03B A04	COBAMAMIDE
B03B A05	MECOBALAMIN
B03B A51	"CYANOCOBALAMIN, COMBINATIONS"
B03B A53	"HYDROXOCOBALAMIN, COMBINATIONS"
B03B B	FOLIC ACID AND DERIVATIVES
B03B B01	FOLIC ACID
B03B B51	"FOLIC ACID, COMBINATIONS"
B03X	OTHER ANTIANEMIC PREPARATIONS
B03X A	OTHER ANTIANEMIC PREPARATIONS
B03X A01	ERYTHROPOIETIN
B03X A02	DARBEPOETIN ALFA
B03X A03	METHOXY POLYETHYLENE GLYCOL EPOETIN BETA
B03X A04	PEGINESATIDE
B04	SERUMLIPIDREDUCING AGENTS
B04A	CHOLESTEROL- AND TRIGLYCERIDE REDUCERS
B04A B	HMG COA REDUCTASE INHIBITORS
B04A B01	SIMVASTATIN
B04A B02	LOVASTATIN
B04A B03	PRAVASTATIN
B04A B04	FLUVASTATIN
B04A C	FIBRATES
B04A C01	CLOFIBRATE
B04A C02	BEZAFIBRATE
B04A C03	ALUMINIUM CLOFIBRATE
B04A C04	GEMFIBROZIL
B04A C05	FENOFIBRATE
B04A C06	SIMFIBRATE
B04A C07	RONIFIBRATE
B04A D	BILE ACID SEQUESTRANTS
B04A D01	COLESTYRAMINE
B04A D02	COLESTIPOL
B04A D03	DETAXTRAN
B04A E	NICOTINIC ACID AND DERIVATIVES
B04A E01	NICERITROL
B04A E02	NICOTINIC ACID
B04A E03	NICOFURANOSE
B04A E04	ALUMINIUM NICOTINATE
B04A E05	NICOTINYL ALCOHOL (PYRIDYLCARBINOL)
B04A X	OTHER CHOLESTEROL- AND TRIGLYCERIDE REDUCERS
B04A X01	DEXTROTHYROXINE
B04A X02	PROBUCOL
B04A X03	ACIPIMOX
B04A X04	SULODEXIDE
B04A X06	TIADENOL
B04A X07	BENFLUOREX
B04A X08	MEGLUTOL
B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05A	BLOOD AND RELATED PRODUCTS
B05A A	BLOOD SUBSTITUTES AND PLASMA PROTEIN FRACTIONS
B05A A01	ALBUMIN
B05A A02	OTHER PLASMA PROTEIN FRACTIONS
B05A A03	FLUOROCARBON BLOOD SUBSTITUTES
B05A A05	DEXTRAN
B05A A06	GELATIN AGENTS
B05A A07	HETASTARCH
B05A A08	HEMOGLOBIN CROSFUMARIL
B05A A10	HEMOGLOBIN GLUTAMER (BOVINE)
B05A X	OTHER BLOOD PRODUCTS
B05A X01	ERYTHROCYTES
B05A X02	THROMBOCYTES
B05A X03	BLOOD PLASMA
B05A X04	STEM CELLS FROM UMBILICAL CORD BLOOD
B05B	I.V. SOLUTIONS
B05B A	SOLUTIONS FOR PARENTERAL NUTRITION
B05B A01	AMINO ACIDS
B05B A02	FAT EMULSIONS
B05B A03	CARBOHYDRATES
B05B A04	PROTEIN HYDROLYSATES
B05B A10	COMBINATIONS
B05B B	SOLUTIONS AFFECTING THE ELECTROLYTE BALANCE
B05B B01	ELECTROLYTES
B05B B02	ELECTROLYTES WITH CARBOHYDRATES
B05B B03	TROMETAMOL
B05B B04	ELECTROLYTES IN COMBINATION WITH OTHER DRUGS
B05B C	SOLUTIONS PRODUCING OSMOTIC DIURESIS
B05B C01	MANNITOL
B05B C02	CARBAMIDE
B05C	IRRIGATING SOLUTIONS
B05C A	ANTIINFECTIVES
B05C A01	CETYLPYRIDINIUM
B05C A02	CHLORHEXIDINE
B05C A03	NITROFURAL
B05C A04	SULFAMETHIZOLE
B05C A05	TAUROLIDINE
B05C A06	MANDELIC ACID
B05C A07	NOXYTIOLINrinary an
B05C A08	ETHACRIDINE LACTATE
B05C A09	NEOMYCIN
B05C A10	COMBINATIONS
B05C B	SALT SOLUTIONS
B05C B01	SODIUM CHLORIDE
B05C B02	SODIUM CITRATE
B05C B03	MAGNESIUM CITRATE
B05C B04	SODIUM BICARBONATE
B05C B10	COMBINATIONS
B05C X	OTHER IRRIGATING SOLUTIONS
B05C X01	GLUCOSE
B05C X02	SORBITOL
B05C X03	GLYCINE
B05C X04	MANNITOL
B05C X10	COMBINATIONS
B05D	PERITONEAL DIALYTICS
B05D A	ISOTONIC SOLUTIONS
B05D B	HYPERTONIC SOLUTIONS
B05X	I.V. SOLUTION ADDITIVES
B05X A	ELECTROLYTE SOLUTIONS
B05X A01	POTASSIUM CHLORIDE
B05X A02	SODIUM BICARBONATE
B05X A03	SODIUM CHLORIDE
B05X A04	AMMONIUM CHLORIDE
B05X A05	MAGNESIUM SULFATE
B05X A06	"POTASSIUM PHOSPHATE, INCL. COMBINATIONS WITH OTHER POTASSIUM SALTS"
B05X A07	CALCIUM CHLORIDE
B05X A08	SODIUM ACETATE
B05X A09	SODIUM PHOSPHATE
B05X A10	MAGNESIUM PHOSPHATE
B05X A11	MAGNESIUM CHLORIDE
B05X A12	ZINC CHLORIDE
B05X A13	HYDROCHLORIC ACID
B05X A14	SODIUM GLYCEROPHOSPHATE
B05X A15	POTASSIUM LACTATE
B05X A16	CARDIOPLEGIA SOLUTIONS
B05X A17	POTASSIUM ACETATE
B05X A30	COMBINATIONS OF ELECTROLYTES
B05X A31	ELECTROLYTES IN COMBINATION WITH OTHER DRUGS
B05X B	AMINO ACIDS
B05X B01	ARGININE HYDROCHLORIDE
B05X B02	ALANYL GLUTAMINE
B05X B03	LYSINE
B05X C	VITAMINS
B05X X	OTHER I.V. SOLUTION ADDITIVES
B05X X02	TROMETAMOL
B05Z	HEMODIALYTICS AND HEMOFILTRATES
B05Z A	"HEMODIALYTICS, CONCENTRATES"
B05Z B	HEMOFILTRATES
B06	OTHER HEMATOLOGICAL AGENTS
B06A	OTHER HEMATOLOGICAL AGENTS
B06A A	ENZYMES
B06A A02	FIBRINOLYSIN AND DESOXYRIBONUCLEASE
B06A A03	HYALURONIDASE
B06A A04	CHYMOTRYPSIN
B06A A07	TRYPSIN
B06A A10	DESOXYRIBONUCLEASE
B06A A11	BROMELAINS - OLD CODE
B06A A55	"STREPTOKINASE, COMBINATIONS"
B06A B	OTHER HEM PRODUCTS
B06A B01	HEMATIN
B06A C	DRUGS USED IN HEREDITARY ANGIOEDEMA
B06A C01	"C1-INHIBITOR, PLASMA DERIVED"
B06A C02	ICATIBANT
B06A C03	ECALLANTIDE
B06A C04	CONESTAT ALFA
C	CARDIOVASCULAR SYSTEM
C01	CARDIAC THERAPY
C01A	CARDIAC GLYCOSIDES
C01A A	DIGITALIS GLYCOSIDES
C01A A01	ACETYLDIGITOXIN
C01A A02	ACETYLDIGOXIN
C01A A03	DIGITALIS LEAVES
C01A A04	DIGITOXIN
C01A A05	DIGOXIN
C01A A06	LANATOSIDE C
C01A A07	DESLANOSIDE
C01A A08	METILDIGOXIN
C01A A09	GITOFORMATE
C01A B	SCILLA GLYCOSIDES
C01A B01	PROSCILLARIDIN
C01A B51	"PROSCILLARIDIN, COMBINATIONS"
C01A C	STROPHANTUS GLYCOSIDES
C01A C01	G-STROPHANTHIN
C01A C03	CYMARIN
C01A X	OTHER CARDIAC GLYCOSIDES
C01A X02	PERUVOSIDE
C01B	"ANTIARRHYTHMICS, CLASS I AND III"
C01B A	"ANTIARRHYTHMICS, CLASS IA"
C01B A01	QUINIDINE
C01B A02	PROCAINAMIDE
C01B A03	DISOPYRAMIDE
C01B A04	SPARTEINE
C01B A05	AJMALINE
C01B A08	PRAJMALINE
C01B A12	LORAJMINE
C01B A13	HYDROQUINIDINE
C01B A51	"QUINIDINE, COMBINATIONS EXCL. PSYCHOLEPTICS"
C01B A71	"QUINIDINE, COMBINATIONS WITH PSYCHOLEPTICS"
C01B B	"ANTIARRHYTHMICS, CLASS IB"
C01B B01	LIDOCAINE
C01B B02	MEXILETINE
C01B B03	TOCAINIDE
C01B B04	APRINDINE
C01B C	"ANTIARRHYTHMICS, CLASS IC"
C01B C03	PROPAFENONE
C01B C04	FLECAINIDE
C01B C07	LORCAINIDE
C01B C08	ENCAINIDE
C01B C09	ETHACIZINE
C01B D	"ANTIARRHYTHMICS, CLASS III"
C01B D01	AMIODARONE
C01B D02	BRETYLIUM TOSILATE
C01B D03	BUNAFTINE
C01B D04	DOFETILIDE
C01B D05	IBUTILIDE
C01B D06	TEDISAMIL
C01B D07	DRONEDARONE
C01B G	"OTHER ANTIARRHYTHMICS, CLASS I AND III"
C01B G01	MORACIZINE
C01B G07	CIBENZOLINE
C01B G11	VERNAKALANT
C01C	CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
C01C A	ADRENERGIC AND DOPAMINERGIC AGENTS
C01C A01	ETILEFRINE
C01C A02	ISOPRENALINE
C01C A03	NOREPINEPHRINE
C01C A04	DOPAMINE
C01C A05	NORFENEFRINE
C01C A06	PHENYLEPHRINE
C01C A07	DOBUTAMINE
C01C A08	OXEDRINE
C01C A09	METARAMINOL
C01C A10	METHOXAMINE
C01C A11	MEPHENTERMINE
C01C A12	DIMETOFRINE
C01C A13	PRENALTEROL
C01C A14	DOPEXAMINE
C01C A15	GEPEFRINE
C01C A16	IBOPAMINE
C01C A17	MIDODRINE
C01C A18	OCTOPAMINE
C01C A19	FENOLDOPAM
C01C A21	CAFEDRINE
C01C A22	ARBUTAMINE
C01C A23	THEODRENALINE
C01C A24	EPINEPHRINE
C01C A25	AMEZINIUM METILSULFATE
C01C A26	EPHEDRINE
C01C A27	DROXIDOPA
C01C A30	COMBINATIONS
C01C A51	"ETILEFRINE, COMBINATIONS"
C01C E	PHOSPHODIESTERASE INHIBITORS
C01C E01	AMRINONE
C01C E02	MILRINONE
C01C E03	ENOXIMONE
C01C E04	BUCLADESINE
C01C X	OTHER CARDIAC STIMULANTS
C01C X06	ANGIOTENSINAMIDE
C01C X07	XAMOTEROL
C01C X08	LEVOSIMENDAN
C01D	VASODILATORS USED IN CARDIAC DISEASES
C01D A	ORGANIC NITRATES
C01D A02	GLYCERYL TRINITRATE
C01D A04	METHYLPROPYLPROPANEDIOL DINITRATE
C01D A05	PENTAERITHRITYL TETRANITRATE
C01D A07	PROPATYLNITRATE
C01D A08	ISOSORBIDE DINITRATE
C01D A09	TROLNITRATE
C01D A13	ERITRITYL TETRANITRATE
C01D A14	ISOSORBIDE MONONITRATE
C01D A20	ORGANIC NITRATES IN COMBINATION
C01D A38	TENITRAMINE
C01D A52	"GLYCERYL TRINITRATE, COMBINATIONS"
C01D A54	"METHYLPROPYLPROPANEDIOL DINITRATE, COMBINATIONS"
C01D A55	"PENTAERITHRITYL TETRANITRATE, COMBINATIONS"
C01D A57	"PROPATYLNITRATE, COMBINATIONS"
C01D A58	"ISOSORBIDE DINITRATE, COMBINATIONS"
C01D A59	"TROLNITRATE, COMBINATIONS"
C01D A63	"ERITRITYL TETRANITRATE, COMBINATIONS"
C01D A70	ORGANIC NITRATES IN COMBINATION WITH PSYCHOLEPTICS
C01D B	QUINOLONE VASODILATORS
C01D B01	FLOSEQUINAN
C01D X	OTHER VASODILATORS USED IN CARDIAC DISEASES
C01D X01	ITRAMIN TOSILATE
C01D X02	PRENYLAMINE
C01D X03	OXYFEDRINE
C01D X04	BENZIODARONE
C01D X05	CARBOCROMEN
C01D X06	HEXOBENDINE
C01D X07	ETAFENONE
C01D X08	HEPTAMINOL
C01D X09	IMOLAMINE
C01D X10	DILAZEP
C01D X11	TRAPIDIL
C01D X12	MOLSIDOMINE
C01D X13	EFLOXATE
C01D X14	CINEPAZET
C01D X15	CLORIDAROL
C01D X16	NICORANDIL
C01D X17	TRIMETAZIDINE - OLD CODE
C01D X18	LINSIDOMINE
C01D X19	NESIRITIDE
C01D X21	SERELAXIN
C01D X51	"ITRAMIN TOSILATE, COMBINATIONS"
C01D X52	"PRENYLAMINE, COMBINATIONS"
C01D X53	"OXYFEDRINE, COMBINATIONS"
C01D X54	"BENZIODARONE, COMBINATIONS"
C01E	OTHER CARDIAC PREPARATIONS
C01E A	PROSTAGLANDINS
C01E A01	ALPROSTADIL
C01E B	OTHER CARDIAC PREPARATIONS
C01E B02	CAMPHORA
C01E B03	INDOMETACIN
C01E B04	CRATAEGUS GLYCOSIDES
C01E B05	CREATINOLFOSFATE
C01E B06	FOSFOCREATINE
C01E B07	"FRUCTOSE 1,6-DIPHOSPHATE"
C01E B09	UBIDECARENONE
C01E B10	ADENOSINE
C01E B11	TIRACIZINE
C01E B12	TEDISAMIL - OLD CODE
C01E B13	ACADESINE
C01E B15	TRIMETAZIDINE
C01E B16	IBUPROFEN
C01E B17	IVABRADINE
C01E B18	RANOLAZINE
C01E B19	ICATIBANT - OLD CODE
C01E B21	REGADENOSON
C01E B22	MELDONIUM
C01E B23	TIAZOTIC ACID
C01E X	OTHER CARDIAC COMBINATION PRODUCTS
C02	ANTIHYPERTENSIVES
C02A	"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
